alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
-2,0,-0.238559,0.002201,0.007358,0.009558,0,0,0.016147,0,0,38,0.2095
-1,0,-0.151247,0.000939,0.006897,0.007836,0,0,0.011937,0,0,38,0.2137
0,0,-0.064191,0.000244,0.006638,0.006882,0,0,0.00782,0,0,38,0.2282
1,0,0.022553,0.000098,0.006574,0.006673,0,0,0.003795,0,0,38,0.1339
2,0,0.108931,0.000484,0.006722,0.007206,0,0,-0.000128,0,0,38,0.1898
3,0,0.194889,0.001383,0.007071,0.008454,0,0,-0.003948,0,0,38,0.1965
4,0,0.280375,0.002772,0.007611,0.010383,0,0,-0.007663,0,0,38,0.1992
5,0,0.365337,0.004629,0.008288,0.012917,0,0,-0.011265,0,0,38,0.2008
6,0,0.449725,0.00693,0.009025,0.015956,0,0,-0.014747,0,0,38,0.2018
7,0,0.533492,0.00965,0.009805,0.019455,0,0,-0.018109,0,0,38,0.2025
8,0,0.616589,0.012762,0.010614,0.023376,0,0,-0.021345,0,0,38,0.2031
9,0,0.698973,0.016237,0.011448,0.027685,0,0,-0.024451,0,0,38,0.2035
10,0,0.780599,0.020047,0.012433,0.03248,0,0,-0.027429,0,0,38,0.2039
11,0,0.861426,0.024161,0.013637,0.037799,0.000001,0,-0.030275,0,0,38,0.2041
12,0,0.941413,0.028549,0.015037,0.043586,0.000001,0,-0.032988,0,0,38,0.2043
13,0,1.020522,0.033179,0.01698,0.050158,0.000001,0,-0.035572,0,0,38,0.2045
